# Region      : all region0
# Cells       : 3780
# Volume      : 6.336836e+01
# Time        	volAverage(alpha.sludge)
0.119999      	7.039044e-10
0.263997      	3.004256e-09
0.436794      	6.016032e-09
0.644151      	9.539858e-09
0.892974      	1.368371e-08
1.19155       	1.857993e-08
1.54984       	2.438986e-08
1.97978       	3.130860e-08
2.49567       	3.956980e-08
3.11471       	4.945186e-08
3.85752       	6.128483e-08
4.7489        	7.546165e-08
5.81854       	9.251023e-08
7.10206       	1.129621e-07
8.64213       	1.374948e-07
10.4901       	1.669189e-07
12.7077       	2.022114e-07
15.369        	2.446435e-07
18.5119       	2.947533e-07
22.1295       	3.524404e-07
26.2164       	4.176010e-07
30.7628       	4.901813e-07
35.301        	5.626568e-07
39.8061       	6.346211e-07
44.3113       	7.065912e-07
48.8453       	7.790238e-07
53.4255       	8.521953e-07
58.0485       	9.260496e-07
62.7019       	1.000379e-06
67.3774       	1.075039e-06
72.0662       	1.149878e-06
76.755        	1.224784e-06
81.4393       	1.299568e-06
86.1148       	1.374225e-06
90.7813       	1.448757e-06
95.439        	1.523157e-06
100.088       	1.597425e-06
104.737       	1.671689e-06
109.386       	1.745946e-06
114.039       	1.820266e-06
118.692       	1.894576e-06
123.35        	1.968943e-06
128.012       	2.043309e-06
132.674       	2.117569e-06
137.337       	2.190962e-06
141.994       	2.260795e-06
146.652       	2.322910e-06
151.31        	2.375648e-06
155.963       	2.420494e-06
160.367       	2.458103e-06
164.245       	2.489217e-06
167.859       	2.517387e-06
171.358       	2.544708e-06
174.837       	2.572546e-06
178.336       	2.601648e-06
181.83        	2.631962e-06
185.197       	2.662339e-06
188.474       	2.692906e-06
191.699       	2.723676e-06
194.898       	2.754784e-06
198.097       	2.786373e-06
201.314       	2.818507e-06
204.567       	2.851294e-06
207.872       	2.884789e-06
211.242       	2.919047e-06
214.685       	2.954079e-06
218.203       	2.989849e-06
221.801       	3.026340e-06
225.48        	3.063517e-06
229.236       	3.101327e-06
233.074       	3.139788e-06
236.991       	3.178878e-06
240.987       	3.218586e-06
245.061       	3.258924e-06
249.214       	3.299909e-06
253.437       	3.341489e-06
257.725       	3.383642e-06
262.072       	3.426343e-06
266.471       	3.469556e-06
270.915       	3.513237e-06
275.398       	3.557332e-06
279.915       	3.601819e-06
284.462       	3.646669e-06
289.04        	3.691889e-06
293.641       	3.737395e-06
298.269       	3.783228e-06
302.919       	3.829340e-06
307.579       	3.875592e-06
312.239       	3.921885e-06
316.899       	3.968210e-06
321.558       	4.014563e-06
326.218       	4.060935e-06
330.878       	4.107322e-06
335.538       	4.153719e-06
340.198       	4.200123e-06
344.857       	4.246437e-06
349.517       	4.292749e-06
354.177       	4.339055e-06
358.837       	4.385356e-06
363.497       	4.431650e-06
368.156       	4.477937e-06
372.816       	4.524216e-06
377.476       	4.570490e-06
382.136       	4.616758e-06
386.796       	4.663021e-06
391.455       	4.709282e-06
396.115       	4.755541e-06
400.775       	4.801799e-06
405.435       	4.848060e-06
410.095       	4.894323e-06
414.754       	4.940590e-06
419.414       	4.986863e-06
424.074       	5.033143e-06
428.734       	5.079431e-06
433.394       	5.125727e-06
438.053       	5.172032e-06
442.713       	5.218348e-06
447.373       	5.264674e-06
452.033       	5.311012e-06
456.693       	5.357362e-06
461.352       	5.403723e-06
466.012       	5.450098e-06
470.672       	5.496485e-06
475.332       	5.542885e-06
479.992       	5.589299e-06
484.651       	5.635726e-06
489.311       	5.682167e-06
493.971       	5.728623e-06
498.631       	5.775092e-06
503.291       	5.821575e-06
507.95        	5.868073e-06
512.61        	5.914584e-06
517.27        	5.961109e-06
521.93        	6.007647e-06
526.59        	6.054199e-06
531.249       	6.100764e-06
535.909       	6.147341e-06
540.569       	6.193931e-06
545.229       	6.240532e-06
549.889       	6.287144e-06
554.548       	6.333767e-06
559.208       	6.380398e-06
563.868       	6.427039e-06
568.528       	6.473688e-06
573.188       	6.520343e-06
577.847       	6.567005e-06
582.507       	6.613671e-06
587.167       	6.660342e-06
591.827       	6.707015e-06
596.487       	6.753690e-06
601.146       	6.800366e-06
605.806       	6.847042e-06
610.466       	6.893715e-06
615.126       	6.940386e-06
619.786       	6.987052e-06
624.445       	7.033713e-06
629.105       	7.080368e-06
633.765       	7.127014e-06
638.425       	7.173652e-06
643.085       	7.220279e-06
647.744       	7.266894e-06
652.404       	7.313497e-06
657.064       	7.360086e-06
661.724       	7.406659e-06
666.384       	7.453217e-06
671.043       	7.499757e-06
675.703       	7.546280e-06
680.363       	7.592784e-06
685.023       	7.639268e-06
689.683       	7.685732e-06
694.343       	7.732175e-06
699.002       	7.778597e-06
703.662       	7.824997e-06
708.322       	7.871375e-06
712.982       	7.917731e-06
717.642       	7.964064e-06
722.301       	8.010376e-06
726.961       	8.056665e-06
731.621       	8.102932e-06
736.281       	8.149177e-06
740.941       	8.195400e-06
745.6         	8.241602e-06
750.26        	8.287782e-06
754.92        	8.333942e-06
759.58        	8.380082e-06
764.24        	8.426202e-06
768.899       	8.472303e-06
773.559       	8.518386e-06
778.219       	8.564451e-06
782.879       	8.610500e-06
787.539       	8.656532e-06
792.198       	8.702548e-06
796.858       	8.748550e-06
801.518       	8.794538e-06
806.178       	8.840512e-06
810.838       	8.886474e-06
815.497       	8.932423e-06
820.157       	8.978362e-06
824.817       	9.024289e-06
829.477       	9.070207e-06
834.137       	9.116116e-06
838.796       	9.162016e-06
843.456       	9.207908e-06
848.116       	9.253792e-06
852.776       	9.299669e-06
857.436       	9.345539e-06
862.095       	9.391404e-06
866.755       	9.437262e-06
871.415       	9.483115e-06
876.075       	9.528964e-06
880.735       	9.574808e-06
885.394       	9.620647e-06
890.054       	9.666483e-06
894.714       	9.712314e-06
899.374       	9.758142e-06
904.034       	9.803967e-06
908.693       	9.849788e-06
913.353       	9.895606e-06
918.013       	9.941420e-06
922.673       	9.987231e-06
927.333       	1.003304e-05
931.992       	1.007884e-05
936.652       	1.012464e-05
941.312       	1.017044e-05
945.972       	1.021624e-05
950.632       	1.026203e-05
955.291       	1.030781e-05
959.951       	1.035360e-05
964.611       	1.039938e-05
969.271       	1.044515e-05
973.931       	1.049092e-05
978.59        	1.053668e-05
983.25        	1.058244e-05
987.91        	1.062820e-05
992.57        	1.067395e-05
997.23        	1.071969e-05
1001.89       	1.076543e-05
1006.55       	1.081116e-05
1011.21       	1.085689e-05
1015.87       	1.090261e-05
1020.53       	1.094832e-05
1025.19       	1.099402e-05
1029.85       	1.103972e-05
1034.51       	1.108541e-05
1039.17       	1.113109e-05
1043.83       	1.117676e-05
1048.49       	1.122242e-05
1053.15       	1.126807e-05
1057.81       	1.131372e-05
1062.47       	1.135935e-05
1067.13       	1.140498e-05
1071.79       	1.145059e-05
1076.45       	1.149619e-05
1081.11       	1.154179e-05
1085.77       	1.158737e-05
1090.43       	1.163294e-05
1095.09       	1.167850e-05
1099.75       	1.172404e-05
1104.41       	1.176958e-05
1109.06       	1.181510e-05
1113.72       	1.186061e-05
1118.38       	1.190611e-05
1123.04       	1.195159e-05
1127.7        	1.199706e-05
1132.36       	1.204251e-05
1137.02       	1.208796e-05
1141.68       	1.213339e-05
1146.34       	1.217880e-05
1151          	1.222420e-05
1155.66       	1.226958e-05
1160.32       	1.231495e-05
1164.98       	1.236031e-05
1169.64       	1.240564e-05
1174.3        	1.245097e-05
1178.96       	1.249627e-05
1183.62       	1.254157e-05
1188.28       	1.258684e-05
1192.94       	1.263210e-05
1197.6        	1.267734e-05
1202.26       	1.272257e-05
1206.92       	1.276777e-05
1211.58       	1.281296e-05
1216.24       	1.285814e-05
1220.9        	1.290330e-05
1225.56       	1.294844e-05
1230.22       	1.299356e-05
1234.88       	1.303866e-05
1239.54       	1.308375e-05
1244.2        	1.312882e-05
1248.86       	1.317387e-05
1253.52       	1.321890e-05
1258.18       	1.326392e-05
1262.84       	1.330892e-05
1267.5        	1.335390e-05
1272.16       	1.339886e-05
1276.82       	1.344380e-05
1281.48       	1.348872e-05
1286.14       	1.353362e-05
1290.8        	1.357851e-05
1295.46       	1.362338e-05
1300.12       	1.366822e-05
1304.78       	1.371305e-05
1309.44       	1.375786e-05
1314.1        	1.380265e-05
1318.76       	1.384742e-05
1323.42       	1.389217e-05
1328.08       	1.393690e-05
1332.74       	1.398162e-05
1337.4        	1.402631e-05
1342.06       	1.407098e-05
1346.71       	1.411564e-05
1351.37       	1.416027e-05
1356.03       	1.420489e-05
1360.69       	1.424948e-05
1365.35       	1.429406e-05
1370.01       	1.433862e-05
1374.67       	1.438315e-05
1379.33       	1.442767e-05
1383.99       	1.447217e-05
1388.65       	1.451665e-05
1393.31       	1.456111e-05
1397.97       	1.460555e-05
1402.63       	1.464998e-05
1407.29       	1.469438e-05
1411.95       	1.473877e-05
1416.61       	1.478313e-05
1421.27       	1.482748e-05
1425.93       	1.487180e-05
1430.59       	1.491611e-05
1435.25       	1.496040e-05
1439.91       	1.500467e-05
1444.57       	1.504892e-05
1449.23       	1.509315e-05
1453.89       	1.513736e-05
1458.55       	1.518155e-05
1463.21       	1.522573e-05
1467.87       	1.526988e-05
1472.53       	1.531402e-05
1477.19       	1.535814e-05
1481.85       	1.540223e-05
1486.51       	1.544631e-05
1491.17       	1.549037e-05
1495.83       	1.553441e-05
1500.49       	1.557843e-05
1505.15       	1.562243e-05
1509.81       	1.566641e-05
1514.47       	1.571037e-05
1519.13       	1.575430e-05
1523.79       	1.579822e-05
1528.45       	1.584212e-05
1533.11       	1.588600e-05
1537.77       	1.592985e-05
1542.43       	1.597369e-05
1547.09       	1.601750e-05
1551.75       	1.606129e-05
1556.41       	1.610506e-05
1561.07       	1.614880e-05
1565.73       	1.619252e-05
1570.39       	1.623622e-05
1575.05       	1.627989e-05
1579.7        	1.632354e-05
1584.36       	1.636716e-05
1589.02       	1.641076e-05
1593.68       	1.645433e-05
1598.34       	1.649787e-05
1603          	1.654138e-05
1607.66       	1.658487e-05
1612.32       	1.662833e-05
1616.98       	1.667176e-05
1621.64       	1.671517e-05
1626.3        	1.675854e-05
1630.96       	1.680188e-05
1635.62       	1.684519e-05
1640.28       	1.688847e-05
1644.94       	1.693172e-05
1649.6        	1.697494e-05
1654.26       	1.701812e-05
1658.92       	1.706127e-05
1663.58       	1.710439e-05
1668.24       	1.714747e-05
1672.9        	1.719052e-05
1677.56       	1.723353e-05
1682.22       	1.727651e-05
1686.88       	1.731945e-05
1691.54       	1.736235e-05
1696.2        	1.740522e-05
1700.86       	1.744805e-05
1705.52       	1.749084e-05
1710.18       	1.753360e-05
1714.84       	1.757632e-05
1719.5        	1.761900e-05
1724.16       	1.766164e-05
1728.82       	1.770424e-05
1733.48       	1.774680e-05
1738.14       	1.778933e-05
1742.8        	1.783182e-05
1747.46       	1.787427e-05
1752.12       	1.791668e-05
1756.78       	1.795905e-05
1761.44       	1.800138e-05
1766.1        	1.804367e-05
1770.76       	1.808593e-05
1775.42       	1.812814e-05
1780.08       	1.817032e-05
1784.74       	1.821245e-05
1789.4        	1.825455e-05
1794.06       	1.829661e-05
1798.72       	1.833864e-05
1803.38       	1.838062e-05
1808.04       	1.842257e-05
1812.7        	1.846448e-05
1817.35       	1.850635e-05
1822.01       	1.854819e-05
1826.67       	1.858998e-05
1831.33       	1.863174e-05
1835.99       	1.867347e-05
1840.65       	1.871516e-05
1845.31       	1.875681e-05
1849.97       	1.879842e-05
1854.63       	1.884000e-05
1859.29       	1.888154e-05
1863.95       	1.892296e-05
1868.61       	1.896436e-05
1873.27       	1.900573e-05
1877.93       	1.904707e-05
1882.59       	1.908838e-05
1887.25       	1.912965e-05
1891.91       	1.917090e-05
1896.57       	1.921211e-05
1901.23       	1.925328e-05
1905.89       	1.929442e-05
1910.55       	1.933553e-05
1915.21       	1.937660e-05
1919.87       	1.941763e-05
1924.53       	1.945863e-05
1929.19       	1.949959e-05
1933.85       	1.954052e-05
1938.51       	1.958141e-05
1943.17       	1.962226e-05
1947.83       	1.966308e-05
1952.49       	1.970386e-05
1957.15       	1.974460e-05
1961.81       	1.978531e-05
1966.47       	1.982598e-05
1971.13       	1.986661e-05
1975.79       	1.990720e-05
1980.45       	1.994775e-05
1985.11       	1.998825e-05
1989.77       	2.002871e-05
1994.43       	2.006912e-05
1999.09       	2.010947e-05
2003.75       	2.014976e-05
2008.41       	2.019000e-05
2013.07       	2.023017e-05
2017.73       	2.027028e-05
2022.39       	2.031032e-05
2027.05       	2.035029e-05
2031.71       	2.039019e-05
2036.37       	2.043002e-05
2041.03       	2.046977e-05
2045.69       	2.050945e-05
2050.35       	2.054905e-05
2055          	2.058856e-05
2059.66       	2.062799e-05
2064.32       	2.066732e-05
2068.98       	2.070654e-05
2073.64       	2.074566e-05
2078.3        	2.078467e-05
2082.96       	2.082357e-05
2087.62       	2.086234e-05
2092.28       	2.090100e-05
2096.94       	2.093954e-05
2101.6        	2.097795e-05
2106.26       	2.101624e-05
2110.92       	2.105440e-05
2115.58       	2.109242e-05
2120.24       	2.113030e-05
2124.9        	2.116801e-05
2129.56       	2.120555e-05
2134.22       	2.124291e-05
2138.88       	2.128007e-05
2143.54       	2.131704e-05
2148.2        	2.135379e-05
2152.86       	2.139025e-05
2157.52       	2.142648e-05
2162.18       	2.146246e-05
2166.84       	2.149819e-05
2171.5        	2.153366e-05
2176.16       	2.156886e-05
2180.82       	2.160377e-05
2185.48       	2.163839e-05
2190.14       	2.167271e-05
2194.8        	2.170672e-05
2199.46       	2.174041e-05
2204.12       	2.177378e-05
2208.78       	2.180681e-05
2213.44       	2.183950e-05
2218.1        	2.187181e-05
2222.76       	2.190374e-05
2227.42       	2.193528e-05
2232.08       	2.196639e-05
2236.74       	2.199706e-05
2241.4        	2.202727e-05
2246.06       	2.205701e-05
2250.72       	2.208626e-05
2255.38       	2.211501e-05
2260.04       	2.214326e-05
2264.7        	2.217097e-05
2269.36       	2.219827e-05
2274.02       	2.222500e-05
2278.68       	2.225117e-05
2283.34       	2.227676e-05
2287.99       	2.230176e-05
2292.65       	2.232618e-05
2297.31       	2.235000e-05
2301.97       	2.237324e-05
2306.63       	2.239587e-05
2311.29       	2.241790e-05
2315.95       	2.243932e-05
2320.61       	2.246015e-05
2325.27       	2.248038e-05
2329.93       	2.250004e-05
2334.59       	2.251913e-05
2339.25       	2.253767e-05
2343.91       	2.255568e-05
2348.57       	2.257318e-05
2353.23       	2.259020e-05
2357.89       	2.260674e-05
2362.55       	2.262285e-05
2367.21       	2.263855e-05
2371.87       	2.265387e-05
2376.53       	2.266883e-05
2381.19       	2.268348e-05
2385.85       	2.269784e-05
2390.51       	2.271194e-05
2395.17       	2.272581e-05
2399.83       	2.273950e-05
2404.49       	2.275306e-05
2409.15       	2.276648e-05
2413.81       	2.277986e-05
2418.47       	2.279325e-05
2423.13       	2.280669e-05
2427.79       	2.282020e-05
2432.45       	2.283383e-05
2437.11       	2.284759e-05
2441.77       	2.286150e-05
2446.43       	2.287559e-05
2451.09       	2.288986e-05
2455.75       	2.290433e-05
2460.41       	2.291900e-05
2465.07       	2.293388e-05
2469.73       	2.294898e-05
2474.39       	2.296428e-05
2479.05       	2.297981e-05
2483.71       	2.299554e-05
2488.37       	2.301150e-05
2493.03       	2.302766e-05
2497.69       	2.304404e-05
2502.35       	2.306064e-05
2507.01       	2.307744e-05
2511.67       	2.309445e-05
2516.33       	2.311168e-05
2520.99       	2.312910e-05
2525.64       	2.314674e-05
2530.3        	2.316457e-05
2534.96       	2.318260e-05
2539.62       	2.320083e-05
2544.28       	2.321926e-05
2548.94       	2.323788e-05
2553.6        	2.325670e-05
2558.26       	2.327571e-05
2562.92       	2.329490e-05
2567.58       	2.331428e-05
2572.24       	2.333385e-05
2576.9        	2.335359e-05
2581.56       	2.337352e-05
2586.22       	2.339366e-05
2590.88       	2.341397e-05
2595.54       	2.343444e-05
2600.2        	2.345508e-05
2604.86       	2.347587e-05
2609.52       	2.349681e-05
2614.18       	2.351790e-05
2618.84       	2.353915e-05
2623.5        	2.356053e-05
2628.16       	2.358205e-05
2632.82       	2.360371e-05
2637.48       	2.362549e-05
2642.14       	2.364741e-05
2646.8        	2.366944e-05
2651.46       	2.369160e-05
2656.12       	2.371386e-05
2660.78       	2.373624e-05
2665.44       	2.375872e-05
2670.1        	2.378130e-05
2674.76       	2.380398e-05
2679.42       	2.382676e-05
2684.08       	2.384962e-05
2688.74       	2.387256e-05
2693.4        	2.389558e-05
2698.06       	2.391866e-05
2702.72       	2.394181e-05
2707.38       	2.396502e-05
2712.04       	2.398828e-05
2716.7        	2.401159e-05
2721.36       	2.403494e-05
2726.02       	2.405832e-05
2730.68       	2.408174e-05
2735.34       	2.410518e-05
2740          	2.412863e-05
2744.66       	2.415210e-05
2749.32       	2.417558e-05
2753.98       	2.419906e-05
2758.64       	2.422253e-05
2763.29       	2.424600e-05
2767.95       	2.426946e-05
2772.61       	2.429291e-05
2777.27       	2.431633e-05
2781.93       	2.433974e-05
2786.59       	2.436313e-05
2791.25       	2.438649e-05
2795.91       	2.440983e-05
2800.57       	2.443315e-05
2805.23       	2.445644e-05
2809.89       	2.447971e-05
2814.55       	2.450296e-05
2819.21       	2.452619e-05
2823.87       	2.454940e-05
2828.53       	2.457260e-05
2833.19       	2.459579e-05
2837.85       	2.461898e-05
2842.51       	2.464216e-05
2847.17       	2.466533e-05
2851.83       	2.468851e-05
2856.49       	2.471169e-05
2861.15       	2.473487e-05
2865.81       	2.475807e-05
2870.47       	2.478127e-05
2875.13       	2.480449e-05
2879.79       	2.482772e-05
2884.45       	2.485097e-05
2889.11       	2.487423e-05
2893.77       	2.489750e-05
2898.43       	2.492080e-05
2903.09       	2.494411e-05
2907.75       	2.496744e-05
2912.41       	2.499079e-05
2917.07       	2.501415e-05
2921.73       	2.503753e-05
2926.39       	2.506092e-05
2931.05       	2.508434e-05
2935.71       	2.510776e-05
2940.37       	2.513121e-05
2945.03       	2.515466e-05
2949.69       	2.517813e-05
2954.35       	2.520162e-05
2959.01       	2.522511e-05
2963.67       	2.524861e-05
2968.33       	2.527212e-05
2972.99       	2.529564e-05
2977.65       	2.531916e-05
2982.31       	2.534268e-05
2986.97       	2.536621e-05
2991.63       	2.538975e-05
2996.28       	2.541328e-05
3000.94       	2.543681e-05
3005.6        	2.546033e-05
3010.26       	2.548386e-05
3014.92       	2.550737e-05
3019.58       	2.553088e-05
3024.24       	2.555439e-05
3028.9        	2.557788e-05
3033.56       	2.560137e-05
3038.22       	2.562484e-05
3042.88       	2.564831e-05
3047.54       	2.567176e-05
3052.2        	2.569521e-05
3056.86       	2.571864e-05
3061.52       	2.574207e-05
3066.18       	2.576548e-05
3070.84       	2.578889e-05
3075.5        	2.581230e-05
3080.16       	2.583569e-05
3084.82       	2.585909e-05
3089.48       	2.588249e-05
3094.14       	2.590589e-05
3098.8        	2.592929e-05
3103.46       	2.595271e-05
3108.12       	2.597613e-05
3112.78       	2.599956e-05
3117.44       	2.602301e-05
3122.1        	2.604646e-05
3126.76       	2.606994e-05
3131.42       	2.609342e-05
3136.08       	2.611692e-05
3140.74       	2.614044e-05
3145.4        	2.616397e-05
3150.06       	2.618751e-05
3154.72       	2.621106e-05
3159.38       	2.623461e-05
3164.04       	2.625817e-05
3168.7        	2.628174e-05
3173.36       	2.630530e-05
3178.02       	2.632886e-05
3182.68       	2.635241e-05
3187.34       	2.637595e-05
3192          	2.639948e-05
3196.66       	2.642299e-05
3201.32       	2.644648e-05
3205.98       	2.646995e-05
3210.64       	2.649340e-05
3215.3        	2.651681e-05
3219.96       	2.654020e-05
3224.62       	2.656356e-05
3229.28       	2.658688e-05
3233.93       	2.661017e-05
3238.59       	2.663343e-05
3243.25       	2.665665e-05
3247.91       	2.667983e-05
3252.57       	2.670298e-05
3257.23       	2.672608e-05
3261.89       	2.674915e-05
3266.55       	2.677218e-05
3271.21       	2.679517e-05
3275.87       	2.681813e-05
3280.53       	2.684105e-05
3285.19       	2.686393e-05
3289.85       	2.688677e-05
3294.51       	2.690958e-05
3299.17       	2.693236e-05
3303.83       	2.695510e-05
3308.49       	2.697780e-05
3313.15       	2.700048e-05
3317.81       	2.702312e-05
3322.47       	2.704573e-05
3327.13       	2.706831e-05
3331.79       	2.709086e-05
3336.45       	2.711338e-05
3341.11       	2.713588e-05
3345.77       	2.715834e-05
3350.43       	2.718078e-05
3355.09       	2.720320e-05
3359.75       	2.722558e-05
3364.41       	2.724795e-05
3369.07       	2.727029e-05
3373.73       	2.729260e-05
3378.39       	2.731490e-05
3383.05       	2.733717e-05
3387.71       	2.735942e-05
3392.37       	2.738166e-05
3397.03       	2.740387e-05
3401.69       	2.742607e-05
3406.35       	2.744824e-05
3411.01       	2.747040e-05
3415.67       	2.749255e-05
3420.33       	2.751468e-05
3424.99       	2.753679e-05
3429.65       	2.755888e-05
3434.31       	2.758096e-05
3438.97       	2.760303e-05
3443.63       	2.762508e-05
3448.29       	2.764712e-05
3452.95       	2.766914e-05
3457.61       	2.769115e-05
3462.27       	2.771315e-05
3466.92       	2.773513e-05
3471.58       	2.775711e-05
3476.24       	2.777907e-05
3480.9        	2.780102e-05
3485.56       	2.782297e-05
3490.22       	2.784490e-05
3494.88       	2.786682e-05
3499.54       	2.788874e-05
3504.2        	2.791064e-05
3508.86       	2.793254e-05
3513.52       	2.795443e-05
3518.18       	2.797631e-05
3522.84       	2.799819e-05
3527.5        	2.802006e-05
3532.16       	2.804192e-05
3536.82       	2.806378e-05
3541.48       	2.808563e-05
3546.14       	2.810747e-05
3550.8        	2.812931e-05
3555.46       	2.815114e-05
3560.12       	2.817296e-05
3564.78       	2.819478e-05
3569.44       	2.821660e-05
3574.1        	2.823840e-05
3578.76       	2.826020e-05
3583.42       	2.828200e-05
3588.08       	2.830378e-05
3592.74       	2.832556e-05
3597.4        	2.834734e-05
3602.06       	2.836910e-05
3606.72       	2.839086e-05
3611.38       	2.841261e-05
3616.04       	2.843435e-05
3620.7        	2.845608e-05
3625.36       	2.847781e-05
3630.02       	2.849952e-05
3634.68       	2.852123e-05
3639.34       	2.854292e-05
3644          	2.856461e-05
3648.66       	2.858629e-05
3653.32       	2.860795e-05
3657.98       	2.862961e-05
3662.64       	2.865126e-05
3667.3        	2.867289e-05
3671.96       	2.869452e-05
3676.62       	2.871613e-05
3681.28       	2.873773e-05
3685.94       	2.875932e-05
3690.6        	2.878090e-05
3695.26       	2.880247e-05
3699.92       	2.882402e-05
3704.57       	2.884557e-05
3709.23       	2.886710e-05
3713.89       	2.888862e-05
3718.55       	2.891012e-05
3723.21       	2.893162e-05
3727.87       	2.895309e-05
3732.53       	2.897456e-05
3737.19       	2.899601e-05
3741.85       	2.901745e-05
3746.51       	2.903887e-05
3751.17       	2.906028e-05
3755.83       	2.908167e-05
3760.49       	2.910304e-05
3765.15       	2.912440e-05
3769.81       	2.914574e-05
3774.47       	2.916706e-05
3779.13       	2.918837e-05
3783.79       	2.920966e-05
3788.45       	2.923093e-05
3793.11       	2.925219e-05
3797.77       	2.927342e-05
3802.43       	2.929464e-05
3807.09       	2.931584e-05
3811.75       	2.933701e-05
3816.41       	2.935817e-05
3821.07       	2.937931e-05
3825.73       	2.940043e-05
3830.39       	2.942153e-05
3835.05       	2.944261e-05
3839.71       	2.946367e-05
3844.37       	2.948471e-05
3849.03       	2.950572e-05
3853.69       	2.952672e-05
3858.35       	2.954770e-05
3863.01       	2.956865e-05
3867.67       	2.958959e-05
3872.33       	2.961050e-05
3876.99       	2.963133e-05
3881.65       	2.965214e-05
3886.31       	2.967293e-05
3890.97       	2.969370e-05
3895.63       	2.971445e-05
